"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Profile\SetStartingState.js", "JavaScript", 58, 0, 0, 6, 64
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Signup.js", "JavaScript", 119, 0, 3, 24, 146
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\Suggestion.js", "JavaScript", 165, 0, 0, 16, 181
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\login.js", "JavaScript", 95, 0, 17, 22, 134
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\videos\VideoComponent.js", "JavaScript", 75, 0, 0, 15, 90
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\playerSide\videos\VideoPlateform.js", "JavaScript", 113, 0, 6, 18, 137
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\Firebase.js", "JavaScript", 20, 0, 2, 2, 24
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\Functions.js", "JavaScript", 20, 0, 26, 8, 54
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\cognito.js", "JavaScript", 84, 0, 2, 14, 100
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\ip.js", "JavaScript", 4, 0, 0, 1, 5
"c:\Users\kamal swami\Documents\summer2021\summer_project\src\util\testBackEndMongoose.js", "JavaScript", 39, 0, 6, 16, 61
"Total", "-", 3023, 191, 525, 503, 4242
